City,Country,Latitude,Longitude,DateTime,CurrentTemp,MaxTemp,WindSpeed,Cloudiness,Humidity
Mataura,NZ,-46.19,168.86,1552699807,15.56,15.56,6.71,0,73
Cape Town,ZA,-33.93,18.42,1552699690,19.39,21.11,2.6,0,82
Maine-Soroa,NE,13.21,12.02,1552700284,23.91,23.91,5.32,32,23
Castro,CL,-42.48,-73.76,1552698000,12,12,2.1,0,81
Ostrogozhsk,RU,50.86,39.08,1552700287,0.16,0.16,4.02,92,95
Fare,PF,-16.7,-151.02,1552700288,28.11,28.11,2.67,76,100
Albany,US,42.65,-73.75,1552699592,9.41,12.78,8.7,20,53
Pisco,PE,-13.71,-76.2,1552698000,22,22,8.7,75,88
Kapaa,US,22.08,-159.32,1552699814,25.9,27,3.6,20,61
Busselton,AU,-33.64,115.35,1552699930,22,23.33,5.82,20,41
fort saint john,ca,,,,,,,,
jinchengjiang,cn,,,,,,,,
Lebu,ET,8.96,38.73,1552694400,15,15,3.1,12,58
Derzhavinsk,KZ,51.1,66.31,1552700297,-11.25,-11.25,1.92,0,67
Trairi,BR,-3.28,-39.27,1552700298,27.31,27.31,1.82,64,100
Norman Wells,CA,65.28,-126.83,1552698000,-4,-4,3.1,5,49
Barrow,AR,-38.31,-60.23,1552700301,17.81,17.81,6.37,92,96
Kiri Buru,IN,22.08,85.35,1552700302,21.51,21.51,1.07,0,87
Birao,CF,10.3,22.78,1552700303,21.51,21.51,4.92,36,21
Ushuaia,AR,-54.81,-68.31,1552698000,11,11,6.2,40,71
amderma,ru,,,,,,,,
Bluff,AU,-23.58,149.07,1552700307,20.76,20.76,2.02,92,100
Pontianak,ID,-0.02,109.34,1552698000,25,25,1.5,20,88
Atbasar,KZ,51.81,68.36,1552700309,-9.2,-9.2,4.12,0,83
Arraial Do Cabo,BR,-22.97,-42.02,1552694400,25,25,0.97,75,88
nizhneyansk,ru,,,,,,,,
Tuktoyaktuk,CA,69.44,-133.03,1552698000,-15,-15,1,40,77
Erenhot,CN,43.65,111.97,1552700314,8.06,8.06,5.57,0,32
illoqqortoormiut,gl,,,,,,,,
Hithadhoo,MV,-0.6,73.08,1552699904,28.86,28.86,1.77,56,100
Vaini,IN,15.34,74.49,1552698000,20,20,1.97,0,49
Antofagasta,CL,-23.65,-70.4,1552698000,19,19,3.1,20,68
Coquimbo,CL,-29.95,-71.34,1552698000,16,16,2.6,75,82
Victoria,BN,5.28,115.24,1552698000,27.41,29,1.5,75,78
Morondava,MG,-20.3,44.28,1552700322,26.21,26.21,1.07,32,100
Pevek,RU,69.7,170.27,1552700323,-25.2,-25.2,1.52,0,81
Te Anau,NZ,-45.41,167.72,1552700324,18.41,18.41,1.57,0,60
Carnarvon,ZA,-30.97,22.13,1552700326,15.56,15.56,2.62,12,83
bengkulu,id,,,,,,,,
Georgetown,GY,6.8,-58.16,1552698000,25.93,27,4.1,40,83
Peniche,PT,39.36,-9.38,1552700137,10.13,15,1.5,20,100
Rikitea,PF,-23.12,-134.97,1552700331,25.51,25.51,11.12,68,100
Fort Nelson,CA,58.81,-122.69,1552698000,6,6,5.1,75,30
Cidreira,BR,-30.17,-50.22,1552700333,22.26,22.26,4.82,36,83
Puerto Rondon,CO,6.28,-71.1,1552700334,24.26,24.26,0.47,12,84
Ribeira Grande,PT,38.52,-28.7,1552699962,16.46,16.46,9.12,88,95
Tiksi,RU,71.64,128.87,1552699851,-25.65,-25.65,1.77,0,63
Hobart,AU,-42.88,147.33,1552700174,21.22,22.78,2.6,75,56
Pamplona,ES,42.82,-1.64,1552700104,5.39,7.78,1.5,0,86
Upernavik,GL,72.79,-56.15,1552699662,-21.69,-21.69,6.46,24,100
Bathsheba,BB,13.22,-59.52,1552698000,26,26,6.2,20,78
